SOURCE_ID,DATA_ELEMENT,PRODUCER,PRODUCER_PATH,CONSUMER,CONSUMER_PATH,PERSISTENCE,FRESHNESS,AUTHORITATIVE,NETWORK_ORIGIN,NOTES
S01,5m closed candles (live),Dhan REST /charts/intraday,data/dhan/rest_client.py:424 + core/candle_fetcher.py:_fetch_candle:154,trading_engine._on_bar_closed,core/candle_fetcher.py:181/209->trading_engine.py:683,none (transient),per 5m bucket (~30s poll),YES (candle source of truth = REST),https://api.dhan.co/v2,Window gated by session_open/close + keep_partial; same-day from/to=candle_time.date()
S02,5m backfill candles,Open Dhan REST backfill,data/dhan/rest_client.py:backfill_intraday:445 via trading_engine.py:_warmup_from_rest:1369,indicators+HTF engine,data/dhan/adapter.py:177 -> trading_engine.py:1380-1458,none,startup daily,RESET authoritative reconfor data,https://api.dhan.co/v2,14 calendar days fetch -> trimmed to last 5 trading dates (1350-1395); keep_partial True
S03,15m/1h resampled bars (live),CandleFetcher aggregate,core/candle_fetcher.py:_aggregate_candles:244,HTF engine + indicator,htf/backtest_style_htf.py:on_htf_bar_closed:48,none,per 15m/1h bucket,derived (from S01),authoritative,window_start..end over same-day 5m rows; expected_count=tf/5 (205)
S04,15m/1h resampled bars (warmup),pandas groupby per-day 09:00 anchor,trading_engine.py:_warmup_from_rest:1411-1430,HTF engine + indicators,trading_engine.py:1450-1458,none,startup per instrument,derived (from S02),(memory),bucket = session_start + (mins//tf)*tf; KEEP-ALL when keep_partial
S05,LTP feed,Dhan WS quote/price packets,data/dhan/websocket_client.py:_parse_packet:199 + adapter._process_tick:116,execution prices + P&L marks + tick triggers,engine._on_tick:585,cast ephemeral _live_ltp,real-time per tick,NO (display/P&L/triggers only; NOT candles),wss://api-feed.dhan.co,dedup key sid|ltt|price; exp backoff
S06,IST wall clock,OS datetime,core/market_status.py:_now:260,state machine/gates,market_status.state:98,_session_date flag,sub-second,authoritative for MARKET STATE,local,weekday>=5 -> OVERNIGHT; sessions 09:00-23:30
S07,OHLCV CSV (offline parity),Backtest project data_mcx/*.5m.csv,_parity_replay.py CSV_PATHS:57-58,engine replay + reference,_parity_ref.py,_parity_replay.py runs A/B/C,files on disk,static snapshot,== S01 (same contract data),local file,Used ONLY for offline parity harness, not in prod
S08,Orders,fills,trades,SQLite,persistence/manager.py:save_order:184/save_fill:211/save_trade:154/save_trade_and_fill:242,trading_engine._process_signal/_on_fill + trade_close,reconciliation/engine.py,data/db/trading.db (WAL),immediate commit,orders/fills/trades rows,local SQLite,Invariant: fill references existing order; trade_id=position_id
S09,Processed-fill dedup set,core/fill_dedup.py:is_duplicate:54 + mark_processed:79,engine._on_fill:1045,None,-,table processed_fills in trading.db,per fill,DB-backed idempotency,local SQLite,note_processed:106 holds in-process lock pre-durable-mark
S10,System state snapshot,engine.snapshot():1467,main.py:75-84,engine.restore():1502,main.py:46-52,data/db/system_state.json (atomic tmp+replace),every 60s + shutdown,restorable live state,local JSON,LIVE state only; indicator/HTF candle state NEVER persisted (recomputed S02)
S11,Analytics events + trade lifecycle,analytics/event_store.py+analytics/trade_ledger.py,trading_engine + trade_close,dashboard/analytics routes,analytics.db (same parent dir),immediate,historical/audit,local SQLite,trade_id=position_id linkage for close
S12,Account/equity/margin,PnL engine + account engine + position marks,portfolio/*.py,trade_close + dashboard,engine._on_tick:641-652 + _on_fill,_current_prices (S05) + fees,per tick + per fill,authoritative financial,memory + snapshot S10,equity=starting_capital+realized_net+unrealized
S13,Dhan access token,JWT in dhan_token.json,rest_client.renew_token:156 (PIN+TOTP),adapter/ws/REST,_headers:300 + ws token_loader,data/db/dhan_token.json,24h (renew 7AM+6h safety check),auth source of truth,file + dhanhq DhanLogin,JWT exp used; decode errors assumed valid (134-154)
S14,Config+env,Config loader,config/__init__.py:23,all init paths,_init_* in trading_engine,config/settings.json,static per boot,+${ENV} placeholders,local file,secrets via env vars only
