ID,COMPONENT,BACKTEST_REFERENCE (nifty dema backtest\project),LIVE SYSTEM (MCX-TRADER),VERDICT,WHERE_THE_DIFFERENCE_IS
P1,DEMA period / ATR period / ATR factor,DEMA_PERIOD=3 ATR_PERIOD=6 ATR_FACTOR=1.0 goldm_dema_mtf_futures.py:55-57,indicators.dema_period=3 atr_period=6 atr_factor=1.0 config/settings.json:64-68,IDENTICAL,
P2,Session open anchor,SESSION_OPEN="09:00" goldm_dema_mtf_futures.py:58,instrument session_open="09:00" settings.json:35 and :53,IDENTICAL,
P3,Combo timeframes,BASE/MID/HTF=15/15/60 show_15_15_60.py:26,LIVE: gold_02/silver_01 fast=15m mid=15m htf=1h; gold_01/silver_02 fast=5m settings.json:69-105,IDENTICAL (same triple logic; live adds 5m-fast variants of the SAME rule),
P4,Quantity + multiplier,QTY=1 MULTIPLIER=10/5 goldm_dema_mtf_futures.py:50-51 + show_15_15_60.py:58,quantity=1 multiplier=10(GOLDM)/5(SILVERM) settings.json:32,:48,IDENTICAL,
P5,Capital,300000 show_15_15_60.py:25,300000 per strategy settings.json:76/85/94/103,IDENTICAL,
I1,DEMA maths,pine_ema ewm(alpha=2/(n+1),adjust=False,min_periods=1); DEMA=2*EMA1-EMA2 build_15min_enriched.py:84-86,:107,incremental DEMA seeds EMA1=EMA2=first bar; alpha=2/(period+1); 2*EMA1-EMA2 indicators/dema.py:47-64,IDENTICAL,
I2,ATR maths,wilder_atr: TR then first ATR=mean(first N) then alpha=1/N smoothing build_15min_enriched.py:88-102,ATR.update: TR then first=mean(N) then alpha=1/N indicators/atr.py:57-86,IDENTICAL,
I3,DEMA-ATR band clamp,recursive clamp cur=prev or dema; lower>cur->cur=lower; upper<cur->cur=upper; skip when band NaN build_15min_enriched.py:116-123,identical clamp loop incl. NaN-band skip indicators/dema_atr.py:83-96,IDENTICAL,
R1,15m/1H resample bucket formula,session_start + floor((mins)//minutes)*minutes; agg O first/H max/L min/C last/V sum core/dema_mtf.py:47-89; reference combo uses KEEP-ALL override dema_mtf_base.py:47-70 (temp),same bucket formula in warmup trading_engine.py:1464-1486 and in live CandleFetcher candle_fetcher.py:189-262,IDENTICAL (live keep_partial=true matches the KEEP-ALL reference),
M1,HTF->fast mapping,src_avail=htf bar END; target_close=base_dt+base_min; idx=searchsorted(src_avail,target,side=right)-1 core/dema_mtf.py:106-117,bisect_right(end_times, fast_bar.end_ts)-1 htf/backtest_style_htf.py:111-114,IDENTICAL,
S1,LONG signal rule,close>h1 AND prev_close<=prev_h1 AND h15<h1 with NaN skip dema_mtf.py:176-180 (also goldm_dema_mtf_futures.py:271-273),close>htf_val AND prev_close<=prev_htf_val AND mid<htf="strict" check base_dema_strategy.py:226-234,IDENTICAL,
S2,SHORT signal rule,close<h1 AND prev_close>=prev_h1 AND h15>h1 dema_mtf.py:181-183 (goldm :274-276),close<htf_val AND prev_close>=prev_htf_val AND mid>htf base_dema_strategy.py:247-254,IDENTICAL,
S3,Trigger + SL construction,target=signal bar HIGH(L)/LOW(S); SL=min(low,prev low)(L)/max(high,prev high)(S) goldm_dema_mtf_futures.py:273-276,:287-288,trigger=high/low; SL=min(low,prev_low)(L)/max(high,prev_high)(S) base_dema_strategy.py:325-334,IDENTICAL,
S4,Pending re-arm (new cross replaces unfilled pending),_check_signals_for_next_bar arms/replaces while flat goldm_dema_mtf_futures.py:290-302,_detect_signal runs in FLAT/PENDING states base_dema_strategy.py:201-210,IDENTICAL,
E1,ENTRY FILL BAR (which bar fills),first later bar whose high>trigger(L)/low<trigger(S) goldm_dema_mtf_futures.py:167-173,bar.high>trigger(L)/bar.low<trigger(S) base_dema_strategy.py:427-449,IDENTICAL (same bar chosen),
E2,ENTRY FILL PRICE,fills at that crossing bar's OPEN price=data0.open[0] goldm_dema_mtf_futures.py:177,fill_px=pen.trigger_price = signal-candle HIGH/LOW (not the open) base_dema_strategy.py:437,DIFFERENT (the ONE intentional gap D1) -> per-trade delta = (trigger-open)*mult*qty,
E3,Reversal exit fill,exit at OPEN of bar signal_idx+1 goldm_dema_mtf_futures.py:161-163,_process_deferred_exit fills at next fast bar open (bar.open) trading_engine.py:738-781 + _create_reversal_signal base_dema_strategy.py:357-412,IDENTICAL (bar model; LIVE tick path may fill at first LTP cross instead),
E4,Stop-loss exit fill,exit at CLOSE of bar breaking stop goldm_dema_mtf_futures.py:249-258,exit at bar close _check_stop_loss base_dema_strategy.py:461-475,IDENTICAL (bar model),
E5,Same-bar stop (entry+SL same candle),checked on the entry bar, exit at that candle close goldm_dema_mtf_futures.py:144-146+:249-258,same_bar_stop books exit at entry-bar close base_dema_strategy.py:167-170+:477-501 + engine _consume_same_bar_stop :733-736,IDENTICAL,
E6,EOD force-close,NOT implemented (positions carry overnight) goldm_dema_mtf_futures.py (no eod block),should_force_close always False market_status.py:136-141,IDENTICAL (both carry forward),
F1,Gross P&L,(exit-entry)*mult*qty (LONG) / (entry-exit) (SHORT) goldm_dema_mtf_futures.py:221-224,(exit-entry)*qty*mult / (entry-exit) portfolio/pnl.py:63-67,IDENTICAL,
F2,STT side on SHORT,STT always on "sell_turnover=exit*mult*qty" -> for SHORT the exit leg goldm_dema_mtf_futures.py:70-73,fee_model swaps buy/sell turnover for SHORT -> STT on the ENTRY (sell leg) execution/fee_model.py:69-79,DIFFERENT (small; >=1.5% of a trade's fees) -> fee_model.py:71-75,
