phase,file,region,change,impact,mode,verified_by
1,trading_engine.py,1338,"NEW _fetch_history_with_session_guarantee(name, from_date, to_date, last_days, max_fetch_days, extend_step_days)","REST window is extended backward in fetch_extend_step_days (7d) steps up to max_fetch_calendar_days (62) until >= last_trading_days distinct trading dates exist; warns at cap; returns (candles, final_from_date, extensions)","CODE","_p1_warmup_test.py (6 scenarios re holiday clusters / cap / e2e cold start)"
1,trading_engine.py,1381,"REWRITTEN _warmup_from_rest: sole authority = fresh Dhan REST series; resets indicators + htf per instrument before warm (safe on double start); uses the guarantee fetch; trims to last N trading dates; keep_partial=True keeps the trailing 23:00 1H bucket so the warm line equals the backtest KEEP-ALL reference; emits SESSIONS=.. / LTF_5M=.. | 15M=.. DEMA/ATR .. | 1H=.. MAPPING=READY diagnostics","No cold-start penalty; backtest-aligned LAST5 seed; re-warm idempotent","CODE","_p1_warmup_test.py, _p1_resample_test.py (T7), _p1_restart_test.py (R1/R2/R4), all e2e logs"
1,trading_engine.py,1475,"HARDENING: d = d[mins >= 0] inserted after _bucket assignment in the warmup resampler","Pre-session rows (e.g. a next-day 00:10 5m print) can never form or merge into a bucket -> no cross-session contamination, no bad 15m/1h buckets","CODE","_p1_resample_test.py T3 (cross-midnight), T4 (interleaved), T6a/T6b"
1,config/settings.json,16,"warmup block added: last_trading_days 5, fetch_calendar_days 14, max_fetch_calendar_days 62, fetch_extend_step_days 7, keep_partial true","Runtime defaults for the guaranteed-window warmup","CONFIG","engine e2e logs (range 2026-08-23..2026-08-30 clean window)"
1,config/settings.json,35/53,"per-instrument keep_partial: true (GOLDM, SILVERM)","Keep-all bucket semantics acknowledged at instrument level (backtest-aligned)","CONFIG","continuity C2/C3 per-day counts 15x1h incl. trailing partial"
1,_p1_lib.py,NEW,"Shared P1 test library: CSVFeedAdapter/HolidayAdapter/PartialAdapter, build_engine/swap_adapter/teardown, independent ref_dema/ref_atr/ref_dema_atr/ref_session_resample/ref_mapping_index, write_config, append_rows, readonly helpers","Independent reference math, ISO 26262-style test oracle","TEST","all _p1_* tests import it"
1,_p1_warmup_test.py,NEW,"6-scenario session-guarantee + e2e warmup validation harness","Proves the cap/window logic and LAST5 seeding","TEST","WARMUP_VALIDATION_REPORT.csv"
1,_p1_resample_test.py,NEW,"11-scenario resampler validation harness (counts, boundary, cross-midnight, dedup, missing/shuffled, warmup parity)","Proves the live warmed series exactly equals the backtest aggregation","TEST","RESAMPLING_VALIDATION_REPORT.csv"
1,_p1_parity_test.py,NEW,"Indicator (DEMA-ATR 15m/1h x GOLDM/SILVERM) + mapping (870 real 5m bars) + no-lookahead parity harness","735-check parity gospel against independent reference","TEST","INDICATOR_PARITY_REPORT.csv, MAPPING_PARITY_REPORT.csv"
1,_p1_continuity_test.py,NEW,"5-day session continuity harness (C1..C5): LAST5 sessions, per-day counts, 09:00/23:30 anchoring, day-folding, no-reseed","Proves the warm stream equals the backtest LAST5 seed session-for-session","TEST","FIVE_DAY_CONTINUITY_REPORT.csv"
1,_p1_restart_test.py,NEW,"Restart & determinism harness (R1..R4): two-warm equality, partial-data restart->full recompute parity, snapshot/restore round-trip (candle state NOT persisted by design), double-warm idempotence","Proves restart never restores candle state - always recomputes and equals uninterrupted","TEST","RESTART_PARITY_REPORT.csv"
1,_p1_regression_test.py,NEW,"Crash/regression harness (G1..G6): fill double-delivery dedup, DB replay skip after crash, close-then-replay idempotency, paper ceiling, safe-mode entry gate + exit ride-through, day-fold anchor","Proves no regression in the crash-recovery/dedup class","TEST","REGRESSION_REPORT.csv"
1,_p1_lifecycle_test.py,NEW,"Full lifecycle per instrument (V1..V9): warmup->870-bar stream->orders->fills->trades->reconciliation->PNL in DB, x GOLDM and SILVERM","Proves warmup-to-trade pipeline end-to-end on current code","TEST","GOLD_VALIDATION_REPORT.csv, SILVER_VALIDATION_REPORT.csv"
1,_p1_run_all.py,NEW,"Parallel gate orchestrator producing PHASE1_RUN_SUMMARY.csv","One-command re-run of all Phase-1 gates (Pass-2 reproducibility)","TEST","PHASE1_RUN_SUMMARY.csv"
1,_p1_map4_test.py,NEW,"ALL-4-LIVE-STRATEGY fresh re-verification (M1..M4): 5m raw identity + 15m/1h bucket OHLCV + 5m/15m/1h DEMA-ATR lines + htf/mid/fast mapped values at EVERY fast bar x gold_01/gold_02/silver_02/silver_01","Fresh (no earlier results trusted) value-level proof: backtest aggregation, resampling and HTF DEMA-ATR mapping are reproduced exactly by the live engine per fast bar","TEST","FOUR_STRATEGY_HTF_MAPPING_PARITY.csv, FOUR_STRATEGY_HTF_MAPPING_SUMMARY.md"
1,_p1_lib.py,320,"ref_session_resample gains keep_partial=False param","Enables an independent keep-all 75-bucket 1H reference for the all-4-strategy mapping test (identical default for prior gates)","TEST","_p1_map4_test.py (M1/M4)"
1,_p1_run_all.py,23,"map4 gate appended to GATES","8/8 gates re-runnable in one command","TEST","PHASE1_RUN_SUMMARY.csv (8/8 PASS)"
1,_p1_signal4_test.py,NEW,"ALL-4-LIVE-STRATEGY crossing-signal-candle re-verification (S1..S5): per-fast-bar htf/mid/fast values + prev values + mapped source timestamps + LONG/SHORT/NONE classification compared 3 ways — LIVE engine (real strategy objects, real order flow), independent backtest tracker (incremental DEMAATR + BacktestStyleHTFEngine = _bt5_backtest.check_cross), and the _p1_lib batch reference; S5 checks the strategy's own action at every crossing candle","Fresh three-way proof that every crossing candle and every DEMA-ATR value/timestamp on it is identical backtest==live for all 4 strategies (79 candles, 0 mismatch, same 5m/15m/1h lines)","TEST","FOUR_STRATEGY_SIGNAL_CANDLE_PARITY.csv, FOUR_STRATEGY_SIGNAL_CANDLE_SUMMARY.md"
1,_p1_run_all.py,23,"signals gate appended to GATES","9/9 gates re-runnable in one command","TEST","PHASE1_RUN_SUMMARY.csv (9/9 PASS)"
